Unnamed: 0.1,brand,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty,Ram_numeric,ROM_numeric,display_size_numeric,price_category,processor_gen,brand_encoded,processor_encoded,CPU_encoded,Ram_type_encoded,ROM_type_encoded,GPU_encoded,OS_encoded,aspect_ratio,screen_area,ram_rom_ratio,performance_score,is_gaming
0,Hp,49900,73.0,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,5.0,10,105,19,2,1,19,12,1.7777777777777777,121.67999999999999,0.015625,26.299999999999997,1
1,Hp,39900,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,12.0,10,34,18,2,1,126,12,1.7777777777777777,121.67999999999999,0.015625,25.200000000000003,0
2,Acer,26990,69.32352941176471,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,14.0,Budget,11.0,0,15,17,2,1,123,12,1.7777777777777777,98.0,0.015625,27.597058823529412,0
3,Lenovo,59729,66.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,14.0,2240.0,1400.0,Windows 11 OS,1,16.0,512.0,14.0,Mid-range,12.0,14,39,6,8,1,111,12,1.6,98.0,0.03125,29.400000000000002,0
4,Apple,69990,69.32352941176471,Apple M1,Octa Core (4P + 4E),8GB,DDR4,256GB,SSD,Apple M1 Integrated Graphics,13.3,2560.0,1600.0,Mac OS,1,8.0,256.0,13.3,Premium,,1,160,21,2,1,91,7,1.6,88.44500000000001,0.03125,27.19705882352941,0
5,Acer,39990,62.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14.0,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,14.0,Mid-range,12.0,0,39,6,2,1,123,12,1.7777777777777777,98.0,0.015625,25.799999999999997,0
6,Dell,36790,60.0,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,12.0,6,34,18,2,1,126,12,1.7777777777777777,121.67999999999999,0.015625,25.200000000000003,0
7,Acer,76990,63.0,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920.0,1080.0,Windows 11 OS,1,16.0,512.0,15.6,Premium,13.0,0,61,22,4,1,53,12,1.7777777777777777,121.67999999999999,0.03125,28.9,1
8,Asus,48990,64.0,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920.0,1080.0,Windows 11 OS,1,8.0,512.0,15.6,Mid-range,12.0,2,42,6,2,1,121,12,1.7777777777777777,121.67999999999999,0.015625,26.4,0
9,Samsung,74990,68.0,12th Gen Intel Core i5 1240P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,13.3,1080.0,1920.0,Windows 11 OS,1,16.0,512.0,13.3,Premium,12.0,22,39,6,8,1,123,12,0.5625,88.44500000000001,0.03125,30.0,0
